iter	Passed	Remaining
0	704	703655
1	2199	1097543
2	3457	1148916
3	4858	1209700
4	6388	1271365
5	7877	1305085
6	9239	1310750
7	10551	1308435
8	11649	1282699
9	12722	1259548
10	14354	1290571
11	16060	1322331
12	17156	1302577
13	18304	1289166
14	19956	1310449
15	21717	1335641
16	23296	1347068
17	24813	1353715
18	26672	1377144
19	28248	1384195
20	29752	1387027
21	31537	1401970
22	33033	1403195
23	34279	1394028
24	35950	1402085
25	37753	1414287
26	39075	1408172
27	40831	1417448
28	42798	1433022
29	45036	1456179
30	46767	1461871
31	48077	1454358
32	49695	1456228
33	51088	1451504
34	52360	1443644
35	53820	1441183
36	55474	1443843
37	57154	1446902
38	58779	1448392
39	60135	1443246
40	61866	1447068
41	63569	1449992
42	65026	1447210
43	66283	1440156
44	67633	1435338
45	69091	1432903
46	70452	1428528
47	71917	1426365
48	73343	1423459
49	74760	1420450
50	76154	1417067
51	77750	1417457
